card_id,card_number,name,set_code,set_name,card_type,rarity,color_1,color_2,image_url,artist,life,hp,stage,support_type,is_limited,effect_text
1,hBP01-001,Amane Kanata,hBP01,Blooming Radiance,Oshi,OSR,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-001_OSR.png,Hiroko,5,,,,,
2,hBP01-002,Nanashi Mumei,hBP01,Blooming Radiance,Oshi,OSR,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-002_OSR.png,Hiroko,5,,,,,
3,hBP01-003,Aki Rosenthal,hBP01,Blooming Radiance,Oshi,OSR,Green,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-003_OSR.png,Hiroko,5,,,,,
4,hBP01-004,Usada Pekora,hBP01,Blooming Radiance,Oshi,OSR,Green,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-004_OSR.png,神奈ぺろん,6,,,,,
5,hBP01-005,Takane Lui,hBP01,Blooming Radiance,Oshi,OSR,Red,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-005_OSR.png,須王 彩,5,,,,,
6,hBP01-006,Takanashi Kiara,hBP01,Blooming Radiance,Oshi,OSR,Red,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-006_OSR.png, 水鈴,5,,,,,
7,hBP01-007,Hoshimachi Suisei,hBP01,Blooming Radiance,Oshi,OSR,Blue,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-007_OSR.png, 水鈴,5,,,,,
8,hBP01-008,Kobo Kanaeru,hBP01,Blooming Radiance,Oshi,OSR,Blue,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-008_OSR.png,タスキブ,6,,,,,
9,hBP01-009,Amane Kanata,hBP01,Blooming Radiance,Holomem,C,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-009_C.png,Cover,,90,Debut,,,
10,hBP01-010,Amane Kanata,hBP01,Blooming Radiance,Holomem,U,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-010_U.png,さとうぽて,,60,Debut,,,
11,hBP01-011,Amane Kanata,hBP01,Blooming Radiance,Holomem,C,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-011_C.png,おしおしお,,150,1st,,,
12,hBP01-012,Amane Kanata,hBP01,Blooming Radiance,Holomem,U,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-012_U.png,Cover,,120,1st,,,
13,hBP01-013,Amane Kanata,hBP01,Blooming Radiance,Holomem,R,White,,https://en.hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/EN_hBP01-013_R.png,須王 彩,,100,1st,,,
